rownum,firstname,lastname,email,Email Pattern,Comments
1,jonathan,de montis,jonathan@gmail.com,<11>,firstname
2,,Mcgregar,mcgregar@gmail.com,<22>,lastname
3,andrea,ôvidio bonetti,a.bonetti@gmail.com,<1>.<21>,first letter of firstname.Second part of lastname
4,tarik,shaaban,t.shaaban@gmail.com,<1>.<22>,first letter of firstname.lastname
5,segolene,caillemer,scaillemer@gmail.com,<1><22>,first letter of firstname and lastname
6,caroline,benayoun,caroline@gmail.com,<11>,firstname
7,môises,delos reyes,mdelosreyes@gmail.com,<1><20><21>,first letter of firstname and First part of lastname and Second part of lastname
8,vïctor,r guerra,victor.guerra@gmail.com,<1>.<20><21>,first letter of firstname.First part of lastname and Second part of lastname
9,chuan-chu,chou,chu_chou@gmail.com,<11-f3l>_<22>,First 3 letters of firstname_lastname
10,ivy--,lee,ivlee@gmail.com,<11-f2l><22>,First 2 letters of firstname and lastname
11,peiyan,sai,pesai@gmail.com,<11-f2l><22>,First 2 letters of firstname and lastname
12,lieven,el arouni,lieven.elarouni@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
13,elzbieta,bien-przybek,e.bien@gmail.com,<1>.<22>,first letter of firstname.lastname
14,amira,amshaaban,amshaaban@gmail.com,<11-f2l><22>,First 2 letters of firstname and lastname
15,waleed,essam,waessam@gmail.com,<11-f2l><22>,First 2 letters of firstname and lastname
16,shrief,ezzat,shezzat@gmail.com,<11-f2l><22>,First 2 letters of firstname and lastname
17,katrin,de grenier,katrin.degrenier@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
18,pieter,de weerd,pieter.de-weerd@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
19,Jôn,Jôn Deckors,jon-deckors@gmail.com,<1><20><21>,first letter of firstname and First part of lastname and Second part of lastname
20,david,lecomte,david.lecomte@gmail.com,<11>.<22>,firstname.lastname
21,ian,ian ditullio,ian.ditullio@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
22,myrïam,el' harraq,myri.elharraq@gmail.com,<11-f3l>.<20><21>,First 3 letters of firstname.First part of lastname and Second part of lastname
23,lieven.leroux,le roux,lieven.leroux@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
24,jordane,de villaret,jordane.devillaret@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
25,salem,al shahrani,salem.alshahrani@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
26,ronan,mc governronan,ronan.mcgovern@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
27,saqr,fassi fehri,saqr.fassifehri@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
28,shrief.dejaham,de jaham,shrief.dejaham@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
29,nathalie,de louvigny,nathalie.delouvigny@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
30,angelique,de simencourt,angelique.desimencourt@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
31,smahane,smahane.elarouni,smahane.elarouni@gmail.com,<11>.<22>,firstname.lastname
32,jean,baptiste poulain,jeanbaptiste.poulain@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
33,nelly,pais pereira,nelly.paispereira@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
34,amir,ben mansour,amir.benmansour@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
35,nicolas,de gols,nicolas.degols@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
36,sander,de jong,sander.dejong@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
37,mostafa,el enany,mostafa.elenany@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
38,eric,a' laporte,eric.laporte@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
39,anne-laure,chamorand,annelaure.chamorand@gmail.com,<11-f4l>.<22>,First 4 letters of firstname.lastname
40,bonifacio,d'costa kull,bonifacio.dcosta@gmail.com,<11>.<20>,firstname.First part of lastname
41,adele,de montmarin,adele.demontmarin@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
42,caroline,de caigny,caroline.decaigny@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
43,khang,nguyen trieu,khang.nguyentrieu@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
44,barbara,de manincor,barbara.demanincor@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
45,claire,le calvez,claire.lecalvez@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
46,renate,van roon,renate.vanroon@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
47,angelique,de simencourt,angelique.desimencourt@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
48,ian,di tullio,ian.ditullio@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
49,lennart,c bachmann,lennart.bachmann@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
50,chad,guyer,cguyer@gmail.com,<1><22>,first letter of firstname and lastname
51,marcel,de jong,marcel.dejong@gmail.com,<11>.<20><21>,firstname.First part of lastname and Second part of lastname
52,andrea,sala,andrea.sala@gmail.com,<11>.<22>,firstname.lastname
53,armin,grathwohl,armin.grathwohl@gmail.com,<11>.<22>,firstname.lastname
